"filename","title","duration_seconds","rumble_url","caption_url","player_id"
"v70gox8_10-18-25-Psyche-Awakens-VOD-saying-my-goodbyes.srt","10/18/25 Psyche Awakens VOD: ""saying my goodbyes""","1362","https://rumble.com/v70gox8-101825-psyche-awakens-vod-saying-my-goodbyes.html","https://hugh.cdn.rumble.cloud/video/fwe2/32/s8/11/S/4/L/r/S4Lrz.fn8Si.vtt","v6ya0z4"
"v70gosu_10-18-25-Psyche-Awakens-VOD-beeta-come-back.srt","10/18/25 Psyche Awakens VOD: ""beeta come back""","230","https://rumble.com/v70gosu-101825-psyche-awakens-vod-beeta-come-back.html","https://hugh.cdn.rumble.cloud/video/fww1/74/s8/11/o/2/L/r/o2Lrz.fn8Si.vtt","v6ya0uq"
"v70gewa_10-17-25-Psyche-Awakens-VOD-If-At-First-You-Don-t-Succeed-You-Can-Dust-it-Off-and-Try-Again.srt","10/17/25 Psyche Awakens VOD: ""If At First You Don't Succeed.... You Can Dust it Off and Try Again""","4795","https://rumble.com/v70gewa-101725-psyche-awakens-vod-if-at-first-you-dont-succeed....-you-can-dust-it-.html","https://hugh.cdn.rumble.cloud/video/fwe2/cc/s8/11/Q/T/I/r/QTIrz.fn8Si.vtt","v6y9qy6"
"v70gb1e_10-17-25-Psyche-Awakens-VOD-Friday-Hangout-Open-Panel.srt","10/17/25 Psyche Awakens VOD: ""Friday Hangout Open Panel""","3381","https://rumble.com/v70gb1e-101725-psyche-awakens-vod-friday-hangout-open-panel.html","https://hugh.cdn.rumble.cloud/video/fwe2/fe/s8/11/I/F/H/r/IFHrz.fn8Si.vtt","v6y9n3a"
"v70fzo0_10-17-25-Psyche-Awakens-VOD-Last-Call.srt","10/17/25 Psyche Awakens VOD: ""Last Call""","7145","https://rumble.com/v70fzo0-101725-psyche-awakens-vod-last-call.html","https://hugh.cdn.rumble.cloud/video/fww1/d6/s8/11/q/5/D/r/q5Drz.fn8Si.vtt","v6y9bpw"
"v70fzj0_10-17-25-Psyche-Awakens-VOD-Thursday-Night-Suprise-Stream.srt","10/17/25 Psyche Awakens VOD: ""Thursday Night Suprise Stream""","5460","https://rumble.com/v70fzj0-101725-psyche-awakens-vod-thursday-night-suprise-stream.html","https://hugh.cdn.rumble.cloud/video/fww1/27/s8/11/C/2/D/r/C2Drz.fn8Si.vtt","v6y9bkw"
"v70dw5i_10-16-25-Psyche-Awakens-VOD-Try-One-More-Time.srt","10/16/25 Psyche Awakens VOD: ""Try One More Time""","2489","https://rumble.com/v70dw5i-101625-psyche-awakens-vod-try-one-more-time.html","https://hugh.cdn.rumble.cloud/video/fwe2/d9/s8/11/g/a/g/r/gagrz.fn8Si.vtt","v6y787e"
"v70afz6_10-13-25-Psyche-Awakens-VOD-Psyche-Monday-Nighht-Live-No-Sperge-Stream.srt","10/13/25 Psyche Awakens VOD: ""Psyche Monday Nighht Live. No Sperge Stream""","6329","https://rumble.com/v70afz6-101325-psyche-awakens-vod-psyche-monday-nighht-live.-no-sperge-stream.html","https://hugh.cdn.rumble.cloud/video/fwe2/46/s8/11/I/T/E/q/ITEqz.fn8Si.vtt","v6y3pgm"
"v70afas_10-14-25-Psyche-Awakens-VOD-Me-and-my-Big-Mouth-OPEN-PANEL-MADNESS.srt","10/14/25 Psyche Awakens VOD: ""Me and my Big Mouth OPEN PANEL MADNESS""","4602","https://rumble.com/v70afas-101425-psyche-awakens-vod-me-and-my-big-mouth-open-panel-madness.html","https://hugh.cdn.rumble.cloud/video/fwe2/33/s8/11/0/F/E/q/0FEqz.fn8Si.vtt","v6y3os8"
"v709y44_10-13-25-Psyche-Awakens-VOD-Open-Panel-All-Are-Welcome-except-for-KZ.srt","10/13/25 Psyche Awakens VOD: ""Open Panel! All Are Welcome (except for KZ)""","14825","https://rumble.com/v709y44-101325-psyche-awakens-vod-open-panel-all-are-welcome-except-for-kz.html","https://hugh.cdn.rumble.cloud/video/fwe2/77/s8/11/0/d/z/q/0dzqz.fn8Si.vtt","v6y37lk"
"v7094u4_10-13-25-Psyche-Awakens-VOD-Monday-Morning-Madness-Psyches-Wigging-Out.srt","10/13/25 Psyche Awakens VOD: ""Monday Morning Madness-- Psyches Wigging Out""","5080","https://rumble.com/v7094u4-101325-psyche-awakens-vod-monday-morning-madness-psyches-wigging-out.html","https://hugh.cdn.rumble.cloud/video/fwe2/dd/s8/11/8/Y/p/q/8Ypqz.fn8Si.vtt","v6y2ebk"
"v70901e_10-12-25-Psyche-Awakens-VOD-Last-Ride-of-the-Day.srt","10/12/25 Psyche Awakens VOD: ""Last Ride of the Day""","19729","https://rumble.com/v70901e-101225-psyche-awakens-vod-last-ride-of-the-day.html","https://hugh.cdn.rumble.cloud/video/fwe2/7d/s8/11/Y/r/o/q/Yroqz.fn8Si.vtt","v6y29iu"
"v704beo_10-10-25-Psyche-Awakens-VOD-Dammit-Janet-The-Return-of-Dr-Frankfurter-Midnight-Madness.srt","10/10/25 Psyche Awakens VOD: ""Dammit Janet The Return of Dr. Frankfurter Midnight Madness""","9698","https://rumble.com/v704beo-101025-psyche-awakens-vod-dammit-janet-the-return-of-dr.-frankfurter-midnig.html","https://hugh.cdn.rumble.cloud/video/fwe2/c5/s8/11/a/7/y/p/a7ypz.fn8Si.vtt","v6xxkw4"
"v704b2q_10-09-25-Psyche-Awakens-VOD-Tarot-Talk-Thursday-Join-the-Fun.srt","10/09/25 Psyche Awakens VOD: ""Tarot Talk Thursday Join the Fun""","6452","https://rumble.com/v704b2q-100925-psyche-awakens-vod-tarot-talk-thursday-join-the-fun.html","https://hugh.cdn.rumble.cloud/video/fwe2/37/s8/11/s/0/y/p/s0ypz.fn8Si.vtt","v6xxkk6"
"v702ffk_10-08-25-Psyche-Awakens-VOD-Some-Exciting-Announcements-and-Other-Cool-Things.srt","10/08/25 Psyche Awakens VOD: ""Some Exciting Announcements and Other Cool Things""","22728","https://rumble.com/v702ffk-100825-psyche-awakens-vod-some-exciting-announcements-and-other-cool-things.html","https://hugh.cdn.rumble.cloud/video/fwe2/f4/s8/11/G/A/d/p/GAdpz.fn8Si.vtt","v6xvox0"
"v70334q_10-09-25-Psyche-Awakens-VOD-Free-Tarot-Reads-Cats-Fun-Music-Madness.srt","10/09/25 Psyche Awakens VOD: ""Free Tarot Reads, Cats, Fun, Music, Madness""","11892","https://rumble.com/v70334q-100925-psyche-awakens-vod-free-tarot-reads-cats-fun-music-madness.html","https://hugh.cdn.rumble.cloud/video/fwe2/58/s8/11/A/6/k/p/A6kpz.fn8Si.vtt","v6xwcm6"
"v70117y_10-08-25-Psyche-Awakens-VOD-Ready-For-It-Lets-Goooooo.srt","10/08/25 Psyche Awakens VOD: ""Ready For It? Lets Goooooo""","9151","https://rumble.com/v70117y-100825-psyche-awakens-vod-ready-for-it-lets-goooooo.html","https://hugh.cdn.rumble.cloud/video/fwe2/0f/s8/11/U/H/Z/o/UHZoz.fn8Si.vtt","v6xuape"
"v6zzdhm_10-07-25-Psyche-Awakens-VOD-Middle-of-the-Night-Delight.srt","10/07/25 Psyche Awakens VOD: ""Middle of the Night Delight""","12965","https://rumble.com/v6zzdhm-100725-psyche-awakens-vod-middle-of-the-night-delight.html","https://hugh.cdn.rumble.cloud/video/fwe2/c5/s8/11/k/O/G/o/kOGoz.fn8Si.vtt","v6xsmz2"
